Province,Date,Temperature (°C),Humidity (%),UV Index,Rain chance (%)
Bắc Kạn,25/09/2025,21,98,0,100
Bắc Giang,25/09/2025,24,88,0,100
Cao Bằng,25/09/2025,22,99,0,100
Hà Giang,25/09/2025,15,98,0,100
Lạng Sơn,25/09/2025,21,96,0,100
Phú Thọ,25/09/2025,23,93,0,100
Quảng Ninh,25/09/2025,20,96,0,100
Thái Nguyên,25/09/2025,23,92,0,100
Tuyên Quang,25/09/2025,23,94,0,100
Điện Biên,25/09/2025,19,79,0,13
Hòa Bình,25/09/2025,19,97,0,100
Lai Châu,25/09/2025,20,86,0,56
Lào Cai,25/09/2025,17,99,0,100
Sơn La,25/09/2025,20,97,0,100
Yên Bái,25/09/2025,23,96,0,100
Bắc Ninh,25/09/2025,24,89,0,100
Hà Nam,25/09/2025,24,89,0,100
Hà Nội,25/09/2025,24,89,0,100
Hải Dương,25/09/2025,24,91,0,100
Hải Phòng,25/09/2025,25,88,0,100
Hưng Yên,25/09/2025,24,89,0,100
Nam Định,25/09/2025,24,91,0,100
Ninh Bình,25/09/2025,24,90,0,100
Thái Bình,25/09/2025,24,91,0,100
Vĩnh Phúc,25/09/2025,24,92,0,100
Hà Tĩnh,25/09/2025,26,86,0,100
Nghệ An,25/09/2025,20,100,0,100
Quảng Bình,25/09/2025,24,97,0,100
Quảng Trị,25/09/2025,26,93,0,100
Thanh Hóa,25/09/2025,24,93,0,100
Thừa Thiên Huế,25/09/2025,25,94,0,100
Bình Định,25/09/2025,19,98,0,100
Bình Thuận,25/09/2025,24,95,0,100
Đà Nẵng,25/09/2025,26,89,0,100
Khánh Hòa,25/09/2025,19,95,0,100
Ninh Thuận,25/09/2025,21,96,0,100
Phú Yên,25/09/2025,21,93,0,100
Quảng Nam,25/09/2025,19,95,0,100
Quảng Ngãi,25/09/2025,26,96,0,100
Đắk Lắk,25/09/2025,23,97,0,100
Đắk Nông,25/09/2025,22,99,0,100
Gia Lai,25/09/2025,22,99,0,100
Kon Tum,25/09/2025,21,99,0,100
Lâm Đồng,25/09/2025,22,99,0,100
Bà Rịa-Vũng Tàu,25/09/2025,26,91,0,40
Bình Dương,25/09/2025,26,89,0,96
Bình Phước,25/09/2025,24,89,0,100
Đồng Nai,25/09/2025,26,90,0,91
Hồ Chí Minh,25/09/2025,26,92,0,90
Tây Ninh,25/09/2025,26,83,0,100
An Giang,25/09/2025,26,79,0,91
Bạc Liêu,25/09/2025,27,82,0,88
Bến Tre,25/09/2025,26,92,0,100
Cà Mau,25/09/2025,27,85,0,100
Cần Thơ,25/09/2025,27,88,0,73
Đồng Tháp,25/09/2025,26,79,0,88
Hậu Giang,25/09/2025,26,91,0,37
Kiên Giang,25/09/2025,28,86,0,100
Long An,25/09/2025,27,84,0,100
Sóc Trăng,25/09/2025,26,87,0,79
Tiền Giang,25/09/2025,26,92,0,97
Trà Vinh,25/09/2025,26,92,0,67
Vĩnh Long,25/09/2025,26,91,0,42
